output_file,source_phoneme,source_noise,snr_db,time_stretch,noise_start_time
ऋ_aug_479.wav,ऋ_female-7_019.wav,518586__psubhashish__construction-workers-are-back-after-the-covid-19-lockdown-is-relaxed.wav,5.74,0.90,176.20
ऋ_aug_480.wav,ऋ_female-4_031.wav,276590__the_sound_side__indian-market.wav,12.13,1.05,47.28
ऋ_aug_481.wav,ऋ_female-3_034.wav,516655__soundensemble__39-se-4ch-delhi-atmo-street-traffic-horns-walk-hindu-voices-bazaar.wav,11.26,1.04,13.08
ऋ_aug_482.wav,ऋ_male-1_047.wav,440148__kevp888__br_061_india_varanasi.mp3,18.05,1.04,76.82
ऋ_aug_483.wav,ऋ_female-6_039.wav,345313__embracetheart__city-traffic-outdoor.wav,6.37,0.92,28.41
ऋ_aug_484.wav,ऋ_female-7_023.wav,451528__kyles__traffic-medium-throaty-nearby-covered-sidewalk-cavernous-acoustic-street-market-hall-people-and-movement-india.flac,7.64,0.99,85.64
ऋ_aug_485.wav,ऋ_female-6_039.wav,725637__virgile_loiseau__warehouse-siren-from-a-market-in-a-small-town.wav,6.01,1.04,3.61
ऋ_aug_486.wav,ऋ_male-3_002.wav,276590__the_sound_side__indian-market.wav,9.70,1.00,73.17
ऋ_aug_487.wav,ऋ_female-1_005.wav,462494__rucisko__busy-city-05.wav,16.64,1.09,1.79
ऋ_aug_488.wav,ऋ_female-7_021.wav,451528__kyles__traffic-medium-throaty-nearby-covered-sidewalk-cavernous-acoustic-street-market-hall-people-and-movement-india.flac,8.22,1.06,49.71
ऋ_aug_489.wav,ऋ_female-7_017.wav,263627__alcappuccino__india-streets-agra-city-horses-children-traffic-pedestrians.wav,0.48,0.93,4.34
ऋ_aug_490.wav,ऋ_female-3_034.wav,263627__alcappuccino__india-streets-agra-city-horses-children-traffic-pedestrians.wav,9.84,1.00,44.59
ऋ_aug_491.wav,ऋ_male-3_002.wav,465693__nielsvdb__old-delhi-street-ambience-02(1).wav,19.16,1.06,9.68
ऋ_aug_492.wav,ऋ_female-7_015.wav,562154__anzbot__riding-on-a-bus-in-india.mp3,6.07,0.95,58.16
ऋ_aug_493.wav,ऋ_female-3_033.wav,65185__carbilicon__india-man-2.wav,9.08,1.04,37.24
ऋ_aug_494.wav,ऋ_female-2_026.wav,756723__evanboyerman__bathroom-ceiling-vent-fan-mono.wav,13.77,1.01,30.93
ऋ_aug_495.wav,ऋ_female-7_008.wav,585731__seventhsamurai__ext-mumbai-city-traffic-ambience.wav,11.54,1.01,63.16
ऋ_aug_496.wav,ऋ_female-7_017.wav,417625__martinsadoux__india-calcutta-the-workers-take-out-of-the-factory-and-join-them-bikes.wav,18.24,1.06,111.43
ऋ_aug_497.wav,ऋ_female-4_028.wav,276590__the_sound_side__indian-market.wav,1.20,0.94,46.75
ऋ_aug_498.wav,ऋ_female-5_046.wav,562154__anzbot__riding-on-a-bus-in-india.mp3,17.41,1.05,108.08
ऋ_aug_499.wav,ऋ_female-3_034.wav,345313__embracetheart__city-traffic-outdoor.wav,4.14,1.00,37.06
ऋ_aug_500.wav,ऋ_female-1_004.wav,263627__alcappuccino__india-streets-agra-city-horses-children-traffic-pedestrians.wav,1.02,0.94,36.49
ऋ_aug_501.wav,ऋ_male-4_037.wav,451381__kyles__fish-market-ext-busy-active8-ice-coolers-voices-children-and-distant-throaty-boats-india.flac,0.35,0.93,31.46
ऋ_aug_502.wav,ऋ_female-7_010.wav,125981__xserra__temple-iit-mumbai.wav,8.48,0.95,69.82
ऋ_aug_503.wav,ऋ_female-4_028.wav,263627__alcappuccino__india-streets-agra-city-horses-children-traffic-pedestrians.wav,8.10,0.98,44.28
ऋ_aug_504.wav,ऋ_female-1_004.wav,725412__virgile_loiseau__market-in-a-small-village-calling-motorcycle-horns-people-speaker.wav,0.01,0.94,86.99
ऋ_aug_505.wav,ऋ_female-6_041.wav,423509__martinsadoux__india-small-street-neighbourhood-voices.wav,3.33,0.90,39.05
ऋ_aug_506.wav,ऋ_male-1_050.wav,466270__kevp888__mvi_7516_in_kolkatamullikghat.mp3,3.45,1.09,19.78
ऋ_aug_369.wav,ऋ_female-1_006.wav,261867__bohitomi__hindu-ritual-puja-in-the-temple-with-bells.wav,5.16,0.96,357.05
ऋ_aug_370.wav,ऋ_female-5_043.wav,95714__snotch__07091704_indiazanskarrangdum_cowecho.wav,8.74,0.94,26.22
ऋ_aug_371.wav,ऋ_female-7_016.wav,95714__snotch__07091704_indiazanskarrangdum_cowecho.wav,12.23,1.09,16.80
ऋ_aug_372.wav,ऋ_female-5_045.wav,345313__embracetheart__city-traffic-outdoor.wav,14.63,1.08,7.02
ऋ_aug_373.wav,ऋ_female-3_034.wav,276590__the_sound_side__indian-market.wav,10.76,1.05,120.86
ऋ_aug_374.wav,ऋ_female-6_038.wav,423509__martinsadoux__india-small-street-neighbourhood-voices.wav,6.27,0.94,135.09
ऋ_aug_375.wav,ऋ_female-6_041.wav,518586__psubhashish__construction-workers-are-back-after-the-covid-19-lockdown-is-relaxed.wav,11.40,1.05,28.14
ऋ_aug_376.wav,ऋ_male-1_047.wav,276590__the_sound_side__indian-market.wav,10.34,0.91,48.12
ऋ_aug_377.wav,ऋ_male-1_048.wav,585731__seventhsamurai__ext-mumbai-city-traffic-ambience.wav,17.31,0.99,66.69
ऋ_aug_378.wav,ऋ_female-7_019.wav,466270__kevp888__mvi_7516_in_kolkatamullikghat.mp3,8.69,1.06,4.10
ऋ_aug_379.wav,ऋ_female-4_027.wav,423509__martinsadoux__india-small-street-neighbourhood-voices.wav,6.26,0.91,103.69
ऋ_aug_380.wav,ऋ_female-4_029.wav,263627__alcappuccino__india-streets-agra-city-horses-children-traffic-pedestrians.wav,9.77,0.96,95.22
ऋ_aug_381.wav,ऋ_female-7_021.wav,436788__roboroo__murder-of-crows.wav,11.71,0.94,5.31
ऋ_aug_382.wav,ऋ_female-7_019.wav,65185__carbilicon__india-man-2.wav,18.78,1.00,17.61
ऋ_aug_383.wav,ऋ_female-7_014.wav,186745__calcuttan__kali-temple-soundscape.wav,3.09,1.01,85.14
ऋ_aug_384.wav,ऋ_female-7_014.wav,181026__calcuttan__college-street.wav,3.46,0.95,23.04
ऋ_aug_385.wav,ऋ_female-7_012.wav,263627__alcappuccino__india-streets-agra-city-horses-children-traffic-pedestrians.wav,15.45,0.95,56.06
ऋ_aug_386.wav,ऋ_female-7_020.wav,276590__the_sound_side__indian-market.wav,15.84,0.96,124.66
ऋ_aug_387.wav,ऋ_female-3_033.wav,181026__calcuttan__college-street.wav,8.00,1.09,36.13
ऋ_aug_388.wav,ऋ_male-1_048.wav,725411__virgile_loiseau__market-in-a-small-village-calling-motorcycle-horns-people-speaker-near.wav,19.52,1.09,92.47
ऋ_aug_389.wav,ऋ_male-3_002.wav,95714__snotch__07091704_indiazanskarrangdum_cowecho.wav,12.64,0.93,19.68
ऋ_aug_390.wav,ऋ_female-1_007.wav,518676__psubhashish__bengaluru-is-becoming-busier-post-partial-relaxation-of-covid-19-lockdown-binaural-soundscape.wav,13.96,1.01,50.49
ऋ_aug_391.wav,ऋ_female-6_042.wav,65185__carbilicon__india-man-2.wav,8.84,0.94,12.39
ऋ_aug_392.wav,ऋ_female-1_006.wav,439983__kevp888__br_012_india_agra.mp3,16.38,1.00,111.58
ऋ_aug_393.wav,ऋ_female-7_019.wav,125981__xserra__temple-iit-mumbai.wav,19.65,1.05,6.52
ऋ_aug_394.wav,ऋ_female-7_018.wav,125981__xserra__temple-iit-mumbai.wav,14.06,0.99,118.68
ऋ_aug_395.wav,ऋ_female-7_021.wav,345313__embracetheart__city-traffic-outdoor.wav,14.65,1.08,25.34
ऋ_aug_396.wav,ऋ_female-7_016.wav,345313__embracetheart__city-traffic-outdoor.wav,18.73,1.01,10.60
ऋ_aug_397.wav,ऋ_female-4_029.wav,451364__kyles__demolition-construction-site-machines-diggers-working-and-nearby-crowd-voices-india.flac,7.37,1.05,138.71
ऋ_aug_398.wav,ऋ_female-7_014.wav,261867__bohitomi__hindu-ritual-puja-in-the-temple-with-bells.wav,10.65,1.10,126.23
ऋ_aug_399.wav,ऋ_male-5_051.wav,516655__soundensemble__39-se-4ch-delhi-atmo-street-traffic-horns-walk-hindu-voices-bazaar.wav,10.90,0.93,66.59
ऋ_aug_400.wav,ऋ_female-7_018.wav,263635__alcappuccino__india-trivandrum-street-market-voices-indistinguishable-music-traffic-tuktuks-honking.wav,19.33,1.03,46.87
ऋ_aug_401.wav,ऋ_male-8_025.wav,466270__kevp888__mvi_7516_in_kolkatamullikghat.mp3,8.63,1.07,10.92
ऋ_aug_402.wav,ऋ_male-1_048.wav,466270__kevp888__mvi_7516_in_kolkatamullikghat.mp3,8.85,1.05,4.21
ऋ_aug_403.wav,ऋ_female-7_009.wav,516655__soundensemble__39-se-4ch-delhi-atmo-street-traffic-horns-walk-hindu-voices-bazaar.wav,13.33,1.09,44.62
ऋ_aug_404.wav,ऋ_female-1_007.wav,417625__martinsadoux__india-calcutta-the-workers-take-out-of-the-factory-and-join-them-bikes.wav,17.27,1.01,85.22
ऋ_aug_405.wav,ऋ_female-3_033.wav,423509__martinsadoux__india-small-street-neighbourhood-voices.wav,11.88,1.00,190.67
ऋ_aug_406.wav,ऋ_female-4_031.wav,451528__kyles__traffic-medium-throaty-nearby-covered-sidewalk-cavernous-acoustic-street-market-hall-people-and-movement-india.flac,7.77,0.99,35.81
ऋ_aug_407.wav,ऋ_female-7_020.wav,65855__bosone__indian-children-street-voices.wav,17.56,0.92,20.19
ऋ_aug_408.wav,ऋ_female-5_046.wav,65185__carbilicon__india-man-2.wav,15.66,0.91,15.64
ऋ_aug_409.wav,ऋ_female-1_006.wav,462494__rucisko__busy-city-05.wav,11.90,0.91,9.73
ऋ_aug_410.wav,ऋ_female-7_023.wav,181026__calcuttan__college-street.wav,12.88,0.94,52.57
ऋ_aug_411.wav,ऋ_female-5_044.wav,585731__seventhsamurai__ext-mumbai-city-traffic-ambience.wav,6.05,1.07,53.37
ऋ_aug_412.wav,ऋ_female-7_023.wav,756723__evanboyerman__bathroom-ceiling-vent-fan-mono.wav,3.95,1.03,31.00
ऋ_aug_413.wav,ऋ_female-4_027.wav,465693__nielsvdb__old-delhi-street-ambience-02.wav,19.88,1.04,42.47
ऋ_aug_414.wav,ऋ_female-5_045.wav,466270__kevp888__mvi_7516_in_kolkatamullikghat.mp3,7.52,1.05,5.27
ऋ_aug_231.wav,ऋ_female-7_017.wav,451364__kyles__demolition-construction-site-machines-diggers-working-and-nearby-crowd-voices-india.flac,14.23,0.97,246.98
ऋ_aug_232.wav,ऋ_female-1_006.wav,417625__martinsadoux__india-calcutta-the-workers-take-out-of-the-factory-and-join-them-bikes.wav,17.03,0.90,127.21
ऋ_aug_233.wav,ऋ_female-7_021.wav,518676__psubhashish__bengaluru-is-becoming-busier-post-partial-relaxation-of-covid-19-lockdown-binaural-soundscape.wav,6.41,1.09,18.41
ऋ_aug_234.wav,ऋ_female-1_007.wav,451381__kyles__fish-market-ext-busy-active8-ice-coolers-voices-children-and-distant-throaty-boats-india.flac,0.28,0.99,37.09
ऋ_aug_235.wav,ऋ_female-5_045.wav,125981__xserra__temple-iit-mumbai.wav,5.51,0.90,9.96
ऋ_aug_236.wav,ऋ_female-3_032.wav,466270__kevp888__mvi_7516_in_kolkatamullikghat.mp3,14.52,0.94,3.81
ऋ_aug_237.wav,ऋ_male-1_049.wav,263635__alcappuccino__india-trivandrum-street-market-voices-indistinguishable-music-traffic-tuktuks-honking.wav,16.34,0.94,66.99
ऋ_aug_238.wav,ऋ_female-1_006.wav,276590__the_sound_side__indian-market.wav,17.74,1.09,20.30
ऋ_aug_239.wav,ऋ_female-4_028.wav,95714__snotch__07091704_indiazanskarrangdum_cowecho.wav,19.59,0.97,9.54
ऋ_aug_240.wav,ऋ_female-7_013.wav,518676__psubhashish__bengaluru-is-becoming-busier-post-partial-relaxation-of-covid-19-lockdown-binaural-soundscape.wav,5.27,0.93,55.91
ऋ_aug_241.wav,ऋ_female-4_028.wav,725412__virgile_loiseau__market-in-a-small-village-calling-motorcycle-horns-people-speaker.wav,18.19,1.10,110.23
ऋ_aug_242.wav,ऋ_female-7_012.wav,327449__seventhsamurai__old-noisy-ceiling-fan-roomtone.wav,8.63,1.05,22.15
ऋ_aug_243.wav,ऋ_female-7_022.wav,345313__embracetheart__city-traffic-outdoor.wav,7.38,1.00,25.24
ऋ_aug_244.wav,ऋ_female-4_029.wav,436788__roboroo__murder-of-crows.wav,10.14,0.92,6.97
ऋ_aug_245.wav,ऋ_male-3_003.wav,440148__kevp888__br_061_india_varanasi.mp3,13.35,1.02,89.67
ऋ_aug_246.wav,ऋ_female-3_033.wav,439983__kevp888__br_012_india_agra.mp3,15.74,1.01,59.95
ऋ_aug_247.wav,ऋ_male-4_037.wav,518586__psubhashish__construction-workers-are-back-after-the-covid-19-lockdown-is-relaxed.wav,7.72,0.98,24.14
ऋ_aug_248.wav,ऋ_male-1_047.wav,417625__martinsadoux__india-calcutta-the-workers-take-out-of-the-factory-and-join-them-bikes.wav,9.51,1.01,159.50
ऋ_aug_249.wav,ऋ_female-7_015.wav,436788__roboroo__murder-of-crows.wav,17.59,0.97,15.22
ऋ_aug_250.wav,ऋ_male-8_025.wav,436788__roboroo__murder-of-crows.wav,7.44,0.91,5.95
ऋ_aug_251.wav,ऋ_female-6_039.wav,585731__seventhsamurai__ext-mumbai-city-traffic-ambience.wav,16.27,0.97,87.52
ऋ_aug_252.wav,ऋ_female-6_041.wav,440148__kevp888__br_061_india_varanasi.mp3,2.72,0.98,5.42
ऋ_aug_253.wav,ऋ_female-1_006.wav,451528__kyles__traffic-medium-throaty-nearby-covered-sidewalk-cavernous-acoustic-street-market-hall-people-and-movement-india.flac,18.06,1.01,79.04
ऋ_aug_254.wav,ऋ_female-1_007.wav,436788__roboroo__murder-of-crows.wav,2.37,1.04,9.46
ऋ_aug_255.wav,ऋ_male-3_002.wav,186745__calcuttan__kali-temple-soundscape.wav,0.35,1.10,135.35
ऋ_aug_256.wav,ऋ_female-7_015.wav,436788__roboroo__murder-of-crows.wav,17.26,1.03,16.65
ऋ_aug_257.wav,ऋ_female-6_042.wav,181026__calcuttan__college-street.wav,16.70,0.95,6.30
ऋ_aug_258.wav,ऋ_male-2_024.wav,451364__kyles__demolition-construction-site-machines-diggers-working-and-nearby-crowd-voices-india.flac,10.40,1.02,261.68
ऋ_aug_259.wav,ऋ_male-4_036.wav,436788__roboroo__murder-of-crows.wav,18.29,0.95,4.28
ऋ_aug_260.wav,ऋ_female-7_017.wav,462494__rucisko__busy-city-05.wav,19.45,0.98,12.49
ऋ_aug_261.wav,ऋ_female-1_004.wav,436788__roboroo__murder-of-crows.wav,10.76,0.98,8.79
ऋ_aug_262.wav,ऋ_female-3_033.wav,465693__nielsvdb__old-delhi-street-ambience-02.wav,10.92,1.03,32.88
ऋ_aug_263.wav,ऋ_male-4_036.wav,65855__bosone__indian-children-street-voices.wav,17.08,0.99,6.61
ऋ_aug_264.wav,ऋ_female-5_044.wav,466270__kevp888__mvi_7516_in_kolkatamullikghat.mp3,8.30,0.96,8.44
ऋ_aug_265.wav,ऋ_female-4_027.wav,345313__embracetheart__city-traffic-outdoor.wav,5.32,0.95,0.45
ऋ_aug_266.wav,ऋ_female-1_006.wav,345313__embracetheart__city-traffic-outdoor.wav,5.87,0.97,29.75
ऋ_aug_267.wav,ऋ_female-7_008.wav,518586__psubhashish__construction-workers-are-back-after-the-covid-19-lockdown-is-relaxed.wav,9.71,1.08,100.32
ऋ_aug_268.wav,ऋ_female-7_014.wav,437345__giddster__crows-cawing.wav,4.10,0.97,14.23
ऋ_aug_269.wav,ऋ_female-1_007.wav,518676__psubhashish__bengaluru-is-becoming-busier-post-partial-relaxation-of-covid-19-lockdown-binaural-soundscape.wav,14.98,1.03,104.33
ऋ_aug_270.wav,ऋ_female-7_020.wav,440148__kevp888__br_061_india_varanasi.mp3,16.79,1.05,74.06
ऋ_aug_271.wav,ऋ_female-7_013.wav,417625__martinsadoux__india-calcutta-the-workers-take-out-of-the-factory-and-join-them-bikes.wav,5.96,1.08,234.03
ऋ_aug_272.wav,ऋ_female-1_004.wav,462494__rucisko__busy-city-05.wav,0.19,1.08,8.67
ऋ_aug_273.wav,ऋ_male-1_047.wav,756723__evanboyerman__bathroom-ceiling-vent-fan-mono.wav,3.40,0.93,19.24
ऋ_aug_274.wav,ऋ_male-3_003.wav,181026__calcuttan__college-street.wav,1.88,0.96,46.57
ऋ_aug_275.wav,ऋ_female-5_046.wav,186745__calcuttan__kali-temple-soundscape.wav,11.86,0.91,62.98
ऋ_aug_276.wav,ऋ_male-7_001.wav,186745__calcuttan__kali-temple-soundscape.wav,4.51,0.99,108.22
ऋ_aug_185.wav,ऋ_female-5_044.wav,186745__calcuttan__kali-temple-soundscape.wav,10.12,0.99,107.45
ऋ_aug_186.wav,ऋ_female-5_046.wav,451364__kyles__demolition-construction-site-machines-diggers-working-and-nearby-crowd-voices-india.flac,13.66,0.97,425.65
ऋ_aug_187.wav,ऋ_female-5_043.wav,440148__kevp888__br_061_india_varanasi.mp3,11.17,1.08,6.52
ऋ_aug_188.wav,ऋ_female-7_011.wav,518586__psubhashish__construction-workers-are-back-after-the-covid-19-lockdown-is-relaxed.wav,16.20,0.95,26.04
ऋ_aug_189.wav,ऋ_female-5_044.wav,125981__xserra__temple-iit-mumbai.wav,5.74,1.02,217.03
ऋ_aug_190.wav,ऋ_female-5_044.wav,465693__nielsvdb__old-delhi-street-ambience-02(1).wav,18.90,0.93,48.18
ऋ_aug_191.wav,ऋ_male-1_049.wav,585731__seventhsamurai__ext-mumbai-city-traffic-ambience.wav,16.74,0.95,0.07
ऋ_aug_192.wav,ऋ_female-3_033.wav,585731__seventhsamurai__ext-mumbai-city-traffic-ambience.wav,3.67,1.04,50.11
ऋ_aug_193.wav,ऋ_male-7_001.wav,437345__giddster__crows-cawing.wav,10.94,1.09,34.68
ऋ_aug_194.wav,ऋ_female-7_015.wav,263627__alcappuccino__india-streets-agra-city-horses-children-traffic-pedestrians.wav,9.97,0.96,9.42
ऋ_aug_195.wav,ऋ_female-6_039.wav,465693__nielsvdb__old-delhi-street-ambience-02(1).wav,7.95,1.02,12.34
ऋ_aug_196.wav,ऋ_female-1_007.wav,417625__martinsadoux__india-calcutta-the-workers-take-out-of-the-factory-and-join-them-bikes.wav,1.17,1.04,52.03
ऋ_aug_197.wav,ऋ_female-6_038.wav,261867__bohitomi__hindu-ritual-puja-in-the-temple-with-bells.wav,3.16,0.96,271.32
ऋ_aug_198.wav,ऋ_female-4_029.wav,181026__calcuttan__college-street.wav,13.60,1.02,42.94
ऋ_aug_199.wav,ऋ_female-7_021.wav,518586__psubhashish__construction-workers-are-back-after-the-covid-19-lockdown-is-relaxed.wav,9.89,1.10,161.70
ऋ_aug_200.wav,ऋ_female-7_009.wav,585731__seventhsamurai__ext-mumbai-city-traffic-ambience.wav,12.88,0.92,30.60
ऋ_aug_201.wav,ऋ_female-1_006.wav,437345__giddster__crows-cawing.wav,16.62,1.08,15.31
ऋ_aug_202.wav,ऋ_male-4_036.wav,345313__embracetheart__city-traffic-outdoor.wav,1.25,1.00,16.05
ऋ_aug_203.wav,ऋ_female-6_041.wav,439983__kevp888__br_012_india_agra.mp3,11.46,1.06,31.81
ऋ_aug_204.wav,ऋ_male-1_047.wav,466270__kevp888__mvi_7516_in_kolkatamullikghat.mp3,11.79,0.92,23.22
ऋ_aug_205.wav,ऋ_female-1_005.wav,437345__giddster__crows-cawing.wav,17.82,1.04,25.28
ऋ_aug_206.wav,ऋ_female-7_021.wav,327449__seventhsamurai__old-noisy-ceiling-fan-roomtone.wav,5.46,1.00,84.41
ऋ_aug_207.wav,ऋ_male-1_048.wav,516655__soundensemble__39-se-4ch-delhi-atmo-street-traffic-horns-walk-hindu-voices-bazaar.wav,9.45,0.99,10.55
ऋ_aug_208.wav,ऋ_female-6_039.wav,518586__psubhashish__construction-workers-are-back-after-the-covid-19-lockdown-is-relaxed.wav,13.12,1.07,159.26
ऋ_aug_209.wav,ऋ_male-7_001.wav,65855__bosone__indian-children-street-voices.wav,7.77,0.93,9.47
ऋ_aug_210.wav,ऋ_female-7_010.wav,65185__carbilicon__india-man-2.wav,13.45,0.97,12.28
ऋ_aug_211.wav,ऋ_male-1_047.wav,345313__embracetheart__city-traffic-outdoor.wav,17.93,1.01,19.46
ऋ_aug_212.wav,ऋ_female-6_041.wav,263627__alcappuccino__india-streets-agra-city-horses-children-traffic-pedestrians.wav,15.10,1.09,106.23
ऋ_aug_213.wav,ऋ_female-7_018.wav,95714__snotch__07091704_indiazanskarrangdum_cowecho.wav,16.97,0.91,7.40
ऋ_aug_214.wav,ऋ_female-1_006.wav,562154__anzbot__riding-on-a-bus-in-india.mp3,19.48,0.99,46.58
ऋ_aug_215.wav,ऋ_female-7_013.wav,518586__psubhashish__construction-workers-are-back-after-the-covid-19-lockdown-is-relaxed.wav,11.93,0.94,14.20
ऋ_aug_216.wav,ऋ_male-2_024.wav,439983__kevp888__br_012_india_agra.mp3,10.46,0.93,8.26
ऋ_aug_217.wav,ऋ_female-7_008.wav,423509__martinsadoux__india-small-street-neighbourhood-voices.wav,1.36,1.10,105.28
ऋ_aug_218.wav,ऋ_female-7_015.wav,725412__virgile_loiseau__market-in-a-small-village-calling-motorcycle-horns-people-speaker.wav,13.57,0.96,83.11
ऋ_aug_219.wav,ऋ_female-7_023.wav,261867__bohitomi__hindu-ritual-puja-in-the-temple-with-bells.wav,8.88,1.04,362.04
ऋ_aug_220.wav,ऋ_female-1_004.wav,276590__the_sound_side__indian-market.wav,19.12,1.04,123.47
ऋ_aug_221.wav,ऋ_female-5_046.wav,186745__calcuttan__kali-temple-soundscape.wav,11.59,0.96,102.07
ऋ_aug_222.wav,ऋ_female-6_038.wav,95714__snotch__07091704_indiazanskarrangdum_cowecho.wav,0.39,0.99,28.61
ऋ_aug_223.wav,ऋ_male-3_003.wav,327449__seventhsamurai__old-noisy-ceiling-fan-roomtone.wav,12.15,0.95,68.11
ऋ_aug_224.wav,ऋ_male-1_047.wav,437345__giddster__crows-cawing.wav,19.42,0.95,15.91
ऋ_aug_225.wav,ऋ_female-6_041.wav,725412__virgile_loiseau__market-in-a-small-village-calling-motorcycle-horns-people-speaker.wav,0.38,1.10,124.76
ऋ_aug_226.wav,ऋ_female-7_011.wav,417625__martinsadoux__india-calcutta-the-workers-take-out-of-the-factory-and-join-them-bikes.wav,9.53,1.10,294.87
ऋ_aug_227.wav,ऋ_female-7_012.wav,465693__nielsvdb__old-delhi-street-ambience-02.wav,13.67,0.92,23.07
ऋ_aug_228.wav,ऋ_female-3_033.wav,516655__soundensemble__39-se-4ch-delhi-atmo-street-traffic-horns-walk-hindu-voices-bazaar.wav,15.30,0.96,75.10
ऋ_aug_229.wav,ऋ_female-7_023.wav,725411__virgile_loiseau__market-in-a-small-village-calling-motorcycle-horns-people-speaker-near.wav,9.58,0.95,91.02
ऋ_aug_230.wav,ऋ_female-3_035.wav,436788__roboroo__murder-of-crows.wav,6.53,1.00,4.44
ऋ_aug_323.wav,ऋ_female-7_017.wav,451364__kyles__demolition-construction-site-machines-diggers-working-and-nearby-crowd-voices-india.flac,16.10,0.98,92.06
ऋ_aug_324.wav,ऋ_female-6_042.wav,465693__nielsvdb__old-delhi-street-ambience-02(1).wav,6.52,0.96,50.02
ऋ_aug_325.wav,ऋ_female-7_015.wav,516655__soundensemble__39-se-4ch-delhi-atmo-street-traffic-horns-walk-hindu-voices-bazaar.wav,0.82,1.08,84.86
ऋ_aug_326.wav,ऋ_female-7_010.wav,725637__virgile_loiseau__warehouse-siren-from-a-market-in-a-small-town.wav,18.17,1.06,57.28
ऋ_aug_327.wav,ऋ_male-1_050.wav,516655__soundensemble__39-se-4ch-delhi-atmo-street-traffic-horns-walk-hindu-voices-bazaar.wav,14.13,0.99,12.43
ऋ_aug_328.wav,ऋ_female-5_045.wav,451364__kyles__demolition-construction-site-machines-diggers-working-and-nearby-crowd-voices-india.flac,3.58,1.01,342.28
ऋ_aug_329.wav,ऋ_female-7_012.wav,436788__roboroo__murder-of-crows.wav,1.09,0.91,18.09
ऋ_aug_330.wav,ऋ_female-5_043.wav,462494__rucisko__busy-city-05.wav,6.39,1.03,26.31
ऋ_aug_331.wav,ऋ_female-7_012.wav,345313__embracetheart__city-traffic-outdoor.wav,16.25,1.04,27.74
ऋ_aug_332.wav,ऋ_male-7_001.wav,466270__kevp888__mvi_7516_in_kolkatamullikghat.mp3,14.71,1.04,6.78
ऋ_aug_333.wav,ऋ_female-7_020.wav,417625__martinsadoux__india-calcutta-the-workers-take-out-of-the-factory-and-join-them-bikes.wav,10.79,1.00,0.08
ऋ_aug_334.wav,ऋ_female-4_030.wav,263635__alcappuccino__india-trivandrum-street-market-voices-indistinguishable-music-traffic-tuktuks-honking.wav,8.12,0.90,43.26
ऋ_aug_335.wav,ऋ_female-5_045.wav,756723__evanboyerman__bathroom-ceiling-vent-fan-mono.wav,7.45,1.10,14.28
